,word,word_count
1635,75k,1
1636,cu,1
1637,minivan,1
1638,6month,1
1639,sol,1
1640,4k,1
1641,york,1
1642,3000,1
1643,acquisition,1
1644,85k,1
1645,worked,1
1646,salesman,1
1647,signer,1
1648,tried,1
1649,shred,1
1650,humble,1
1651,notification,1
1652,hell,1
1653,forgo,1
1654,theyve,1
1655,wasted,1
1656,480,1
1657,introductory,1
1658,cuss,1
1659,aside,1
1660,pil,1
1661,prosper,1
1662,maternity,1
1663,voided,1
1664,seminary,1
1665,3300,1
1666,konmari,1
1667,costscancel,1
1668,recover,1
1669,republic,1
1670,enable,1
1671,cardreal,1
1672,loancredit,1
1673,affordable,1
1674,english,1
1675,daver,1
1676,moderate,1
1677,3yr,1
1678,housebs,1
1679,fiance,1
1680,instacart,1
1681,honeymoon,1
1682,12001400,1
1683,threw,1
1684,hardest,1
1685,w9,1
1686,exemption,1
1687,propane,1
1688,dominican,1
1689,biggest,1
1690,upfront,1
1691,comprehensive,1
1692,fighting,1
1693,1015,1
1694,whatsoever,1
1695,far,1
1696,public,1
1697,ban,1
1698,monthtomonth,1
1699,reverse,1
1700,macdonald,1
1701,decide,1
1702,feelimg,1
1703,norm,1
1704,comic,1
1705,direction,1
1706,belief,1
1707,comment,1
1708,uphill,1
1709,lifetime,1
1710,flipping,1
1711,leased,1
1712,eg,1
1713,extreme,1
1714,international,1
1715,legally,1
1716,edrp,1
1717,thp,1
1718,death,1
1719,laptop,1
1720,elsewhere,1
1721,inlaws,1
1722,september,1
1723,bs2bs3,1
1724,fallen,1
1725,daughterinlaws,1
1726,cellphone,1
1727,suddenly,1
1728,spiritually,1
1729,withdrawing,1
1730,newer,1
1731,worthy,1
1732,mint,1
1733,facilitate,1
1734,battle,1
1735,approved,1
1736,versus,1
1737,highearners,1
1738,inevitably,1
1739,bet,1
1740,lossesmaking,1
1741,nay,1
1742,sheet,1
1743,minimizing,1
1744,vul,1
1745,peace,1
1746,bump,1
1747,music,1
1748,literally,1
1749,bs46,1
1750,shazaming,1
1751,spotify,1
